Center X,Center Y,Orientation,Right,Left
71.56418768,47.88594354,329.264,1,0
70.50042163,48.39926273,338.672,1,0
72.74554483,47.66971335,344.458,1,0
77.16426016,46.21541949,338.938,1,0
76.62393903,46.41364758,342.537,1,0
71.94687527,47.70680487,346.396,1,0
71.31360474,47.68333246,322.734,1,0
72.85274017,46.53588205,325.136,1,0
72.80124118,46.65454599,312.174,1,0
73.7545379,45.85651291,327.757,1,0
75.67284344,44.84825998,335.535,1,0
73.68771289,46.02830319,326.032,1,0
71.49246133,47.87940039,310.634,1,0
71.50599365,47.82798819,317.846,1,0
72.64896704,46.99114462,325.338,1,0
69.94136548,48.91684436,324.928,1,0
69.38294339,49.62195456,333.879,1,0
72.78428781,48.00074765,330.854,1,0
74.48115564,47.12882083,337.749,1,0
71.55200787,48.07513321,342.293,1,0
69.36403961,48.77827612,350.456,1,0
71.10752921,48.61408978,359.239,1,0
73.84403973,48.58174771,355.875,1,0
74.01324554,48.62450241,341.983,1,0
74.92948209,48.37145071,346.933,1,0
77.04837839,47.96058224,343.303,1,0
79.09846069,47.28426529,344.225,1,0
81.71010889,46.89939102,356.723,1,0
86.51141779,47.15131201,5.318,1,0
88.94703735,47.48302377,12.653,1,0
90.80203296,48.14186902,21.996,1,0
92.7240127,48.97837506,13.741,1,0
96.32064874,49.30297229,1.204,1,0
98.16160815,49.50524344,357.574,1,0
95.3831554,49.69198123,5.213,1,0
96.79114813,49.87877448,4.721,1,0
98.81236487,49.84907233,355.426,1,0
101.2957827,49.62975861,359.362,1,0
100.7430961,49.47585471,7.541,1,0
95.48228632,48.91202258,2.106,1,0
92.89147302,48.89719803,349.987,1,0
92.53294495,48.98532565,339.8,1,0
91.3348924,49.46189325,338.602,1,0
89.12531775,50.24026071,342.338,1,0
86.71981741,51.03769348,335.745,1,0
86.02035352,51.3529895,320.757,1,0
87.00176843,50.46763162,323.12,1,0
85.91034225,51.01538553,334.158,1,0
85.31687308,51.27467419,332.67,1,0
87.49214801,49.98826016,324.353,1,0
89.28875189,48.47693192,318.074,1,0
91.24809558,46.69560825,316.649,1,0
89.57835748,48.35921304,322.658,1,0
